"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Autauga County, AL"	"01001"	"1999"	"1999"	Suppressed	42963	Suppressed	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2000"	"2000"	Suppressed	43671	Suppressed	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2001"	"2001"	11	44889	Unreliable	Unreliable	0.00%
	"Autauga County, AL"	"01001"	"2002"	"2002"	Suppressed	45909	Suppressed	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2003"	"2003"	Suppressed	46800	Suppressed	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2004"	"2004"	Suppressed	48366	Suppressed	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2005"	"2005"	Suppressed	49676	Suppressed	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2006"	"2006"	Suppressed	51328	Suppressed	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2007"	"2007"	Suppressed	52405	Suppressed	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2008"	"2008"	Suppressed	53277	Suppressed	Suppressed	Suppressed
	"Baldwin County, AL"	"01003"	"1999"	"1999"	24	137555	17.45	17.92	0.01%
	"Baldwin County, AL"	"01003"	"2000"	"2000"	24	140415	17.09	17.26	0.01%
	"Baldwin County, AL"	"01003"	"2001"	"2001"	20	144875	13.81	13.32	0.01%
	"Baldwin County, AL"	"01003"	"2002"	"2002"	21	147957	14.19	13.51	0.01%
	"Baldwin County, AL"	"01003"	"2003"	"2003"	24	151509	15.84	16.28	0.01%
	"Baldwin County, AL"	"01003"	"2004"	"2004"	18	156266	Unreliable	Unreliable	0.01%
	"Baldwin County, AL"	"01003"	"2005"	"2005"	14	162183	Unreliable	Unreliable	0.00%
	"Baldwin County, AL"	"01003"	"2006"	"2006"	34	168121	20.22	18.34	0.01%
	"Baldwin County, AL"	"01003"	"2007"	"2007"	27	172404	15.66	16.29	0.01%
	"Baldwin County, AL"	"01003"	"2008"	"2008"	29	175827	16.49	16.88	0.01%
	"Barbour County, AL"	"01005"	"1999"	"1999"	Suppressed	28866	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2000"	"2000"	Suppressed	29038	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2001"	"2001"	Suppressed	28863	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2002"	"2002"	Suppressed	28653	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2003"	"2003"	Suppressed	28594	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2004"	"2004"	Suppressed	28287	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2005"	"2005"	Suppressed	28027	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2006"	"2006"	Suppressed	27861	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2007"	"2007"	Suppressed	27757	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2008"	"2008"	Suppressed	27808	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"1999"	"1999"	Suppressed	20560	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2000"	"2000"	Suppressed	20826	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2001"	"2001"	Suppressed	21028	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2002"	"2002"	Suppressed	21199	Suppressed	Suppressed	Suppressed
